"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"We’re ever so grateful to see all your faces come by our little store to get a scoop as we count down the last few days we’ll be at Our Tampines Hub 💙 T-5 days now. Come down if you can, we’d love to serve you one last time.","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CtbwwTJSkr5/","0","","170","2023-06-13T14:23:44.000Z",
"Goodbye 👋🏼 

In a month’s time, we will be serving our final scoops at our OG outlet. 

Swing by, eat some ice cream and bid your farewells. You will be dearly missed.","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CwT3YOBSTYI/","19","Why are you closing!","240","2023-08-24T02:21:52.000Z",
"LAST HURRAH SUNDAYS @Merely
ON 17 & 24 SEPTEMBER, 12-6PM

Join us for a Last Hurrah @Merely on September 17th and 24th at two special pop up collabs with our friends. Bid farewell in cheers and happy bellies!

On September 17th - 
Get crafty and join @laughandbelly at her “Sew-A-Pin Workshop” at only $58 with all materials included. Psst.. she'll also be selling her creations and they are the cutest, for more details do head over to her IG. When feeling peckish, we have @bread.buttersg's delectable croissants that’s flakey and so buttery. Their croissants are the perfect vessels for a scoop of Salted Butterscotch, a special ice cream croissant sandwich you don’t want to miss out on! Last but not least, enjoy local flavors and have our Coconut or Pulut Hitam ice cream with @olsenbakehouse's Pandan chiffon cake.

On September 24th - 
Join us for our final scoops and lots of fun awaits. Kids will have a ball of a time as they create ice cream using non-toxic playdough under the guidance of sensory play specialist @tickleyoursenses. Build your own Merely memory box with @mailofcities as she draws your portraits, thoughtfully put together in a unique backdrop. Silkscreen your own ice cream t-shirt with @lyyeow and bring home a piece of Merely with summer vibes. Seek for an oracle reading with @lari.tarot and may she be your guide to all the best things in life! 

Come with an empty belly to fill it up with goodness! @oishiiferments offers a choco cheese banana sourdough loaf and we can load it with an extra scoop of Valrhona Chocolate. 
Don't miss out on @nglitying's bakes, always full of stories and we can’t wait for the surprise bake coming to you at the Pop Up. And lastly, always wash all the good food down with a really good drink. @eccommune will be serving their signature, you are in for a treat with a cuppa Matcha or Chai Latte. Or, choose to make it a Chaiffogato! 

See you soon, at Merely’s ONE LAST HURRAH!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CwyuauIymVr/","7","what time will you be open til on sunday!!","203","2023-09-05T02:00:00.000Z",
"While we’re still processing and waiting for when the last day of Merely Sunshine will be, it is with deep sadness to share that Merely at Our Tampines Hub will be closing for good on 18 June Sunday.

When it rains it pours. We had wished to remain and continue serving our customers in the East, but was informed a few days ago that we lost on the public tender to renew our lease.

It’s been our honour to scoop and serve balls of happiness to you the past 11 years. Your patronage, kind words, and enthusiasm has been everything that has kept us going. 

Till the last day of Merely Sunshine is firmed up. We guess this is probably Thank you and Goodbye. 

So thank you, each and every one of you, from the bottom of our hearts. Maybe till the next time then? 🍦","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CtRmWx6SKa9/","84",":(((((","544","2023-06-09T15:40:27.000Z",
"All good things come to an end. We’re reminiscing all the good times at Sunshine, and of course a big part of that is Merely’s resident meow, Socks! Swipe to read her story, and come down to check out @lyyeow’s final window installation for us ❤️🐈‍⬛ See you soon!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CrCtsNMyeLg/","5","just heard that you are closing n i’m so sad! 😔 thank you for the ice cream and being merely ♥️ wishing you all the best for whatever you do next 🫶","308","2023-04-15T03:53:09.000Z",
"🍦Merely Good Times 🍦

As we countdown to our closure at Sunshine Plaza, we also want to remember all the good times shared together. Introducing a limited edition Merely Good Times tote bag, illustrated by @lyyeow.  If you are familiar with our stories, you may know of Socks, a stray cat living her days in the drain most days, and other times meowing at our storefront asking for food. She was eventually adopted by our bossman. 

Comes in 2 sizes, small for kiddos and bigger to fit more ice cream! 

Merely Sunshine may be closing, but the good times are with you forever! Take home a little piece of us to keep close to your heart always. 🫶

OR, you can buy 4 pints from our webstore or Sunshine Plaza outlet and receive a small tote FREE. For those of you who cannot have enough of Merely’s and would like to share the happy scoops! 

Visit shop.merely.com.sg or shop in-store at our Sunshine Plaza outlet!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Cs7g2b2SSeq/","0","","114","2023-06-01T01:49:03.000Z",
"So this is goodbye! 

Goodbye friends, it's our last week at Our Tampines Hub. It has been our pleasure to scoop happyness for you all these years. We wish that we could continue doing that, but alas we have to go. 

Last day is this coming Sunday! With friends and family, swing by for your fill!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CtYL0-3SqIc/","10","💛🥺","195","2023-06-12T05:03:20.000Z",
"Thank you, Tampines. It has been a wonderful six-year journey.

We will always cherish the support you have shown us, particularly during the challenging times of the Covid-19 pandemic, and how you all rallied around us after hearing about our imminent closure.

It has been our utmost pleasure to serve you happy food.

Farewell! 👋🏼","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CtsZ9OjM7G0/","11","💔😥 nooooooooo","272","2023-06-20T01:32:13.000Z",
"We love that so many memories were made and shared at Sunshine and that it holds a special place place in your hearts too 🧡😢 keep the tags coming, we’re not crying, you’re crying!

〰️
#merelyicecream #icecreamlovers #sgcafe #sgeats #sgfoodies","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CqcFxjnuuce/","2","Will there be an online shop :(","93","2023-03-31T03:58:40.000Z",
"🌟BUY 2 AND GET 1 FREE🌟
Chase those rainy day blues ☔️🌈 away with our awesome tea time deal available 𝗠𝗼𝗻𝗱𝗮𝘆 𝘁𝗼 𝗙𝗿𝗶𝗱𝗮𝘆, 𝟯-𝟲𝗽𝗺! Just buy 2 single scoops in cups and get 1 free*!

*free scoop applies to the lowest priced item","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CpUHa8FujZV/","0","","-1","2023-03-03T05:04:37.000Z",
"🔸BEFORE & AFTER🔸There’s something oddly calming about standing in front of the stove stirring the strawberry jam and watching it slowly thicken. What’s not calming is the fact that it’s going to be March next week!? We hope your 2023 is off to a good start, if not, some strawberry ice cream will definitely sweeten it up!🍓😋","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CpB9ucmSmMF/","0","","-1","2023-02-24T03:51:14.000Z",
"Hurray! It’s the end of the work week 😆 What better time to get a scoop of happiness!?? 😋🍨 Tell us, what is your go to flavour when you come to Merely? 💫","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Cpmj3ASuXk_/","0","","-1","2023-03-10T08:57:07.000Z",
"You’re the ice cream to my waffle, the honey to my bee, the sugar to my coffee 🍨🧇🍯🐝🍬☕️ Happy Valentine’s Day lovers! p.s. our waffles and ice cream make the perfect dessert for sharing with your sweetheart 😘 tag someone you’d want to share it with this Valentine’s Day 🫶💖🥰","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CooPUixtMvM/","2","@dovanchia 🥹🤏","-1","2023-02-14T04:12:55.000Z",
"Yay for DORSCON GREEN 💚 Get your masks off, let's see those smiles 😁 Taking public transport to get some ice cream goodness? Here's how to find us!

𝗦𝘂𝗻𝘀𝗵𝗶𝗻𝗲 𝗣𝗹𝗮𝘇𝗮

91 Bencoolen Street #01-13 S189652
MRT: Bras Basah, Rochor, Bencoolen
Bus: 56, 64, 65, 131, 139, 147, 166, 857

~

𝗢𝘂𝗿 𝗧𝗮𝗺𝗽𝗶𝗻𝗲𝘀 𝗛𝘂𝗯

1 Tampines Walk B1-52 S528523
MRT: Tampines
Bus: 3, 10, 20, 23, 31, 34, 39, 65, 67, 292, 293","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Cov52jnJtmo/","0","","-1","2023-02-17T03:31:04.000Z",
"As the year draws to a close, we want to celebrate YOU, look back at some of the ice creams shared with friends and loved ones 💕😋 and say a very big thank you for your support! Happy new year, pull your ear!! 🎉🍾🎊","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Cm1DiAkyKrV/","0","","-1","2022-12-31T10:29:03.000Z",
"Merry Christmas and happy holidays from us at Merely Ice Cream! 🎄🎅🏻🎁Our outlet at Sunshine Plaza is taking a break for the day, but get you can get your ice cream fix at Our Tampines Hub from 1230-10pm today! p.s. don’t forget to cart out on our buy 3 get one free pint deal online, this special is until 31 December only!! 🛒","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CmklCv-u3_u/","0","","-1","2022-12-25T00:56:10.000Z",
"Tu more days to the year of the rabbit! 🐰 Our outlet in Tampines will be open all through the lunar new year so you’ll never be short of ice cream! Sunshine Plaza will be back on 25 Jan! 新年快乐，恭喜发财，红包拿来🧧🍊🍊","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CnntAkrsVq1/","0","","-1","2023-01-20T02:38:12.000Z",
"If we had one word to describe our red velvet, it would be 𝓅𝓁𝓊𝓈𝒽 ♥️ buttery soft house-made red velvet cake folded into a lush cream cheese ice cream, what could be more decadent! 

〰️
#merelyicecream #icecreamlovers #sgcafe #sgeats #sgfoodies","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Cp36EiySx9X/","0","","-1","2023-03-17T02:38:17.000Z",
"Hello 2023! And congratulations on surviving the first work week of the year! Give yourself a pat on the back, and reward yourself with some ice cream, why don’t you? You deserve it!

Have you ever tried our classic Merely flavour, Horlicks Panda? Bring out that inner kid and dig into Hello Panda chocolate biscuits crushed and folded into yummy malty Horlicks based ice cream 😋","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CnEN1mGyAjs/","0","","33","2023-01-06T07:47:43.000Z",
"Hands up who’s excited for the long weekend!? Start it right with some ice cream and waffles, we’re open till 10 tonight! See you there 👋🏼","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Crk5wDYyqcL/","0","","-1","2023-04-28T10:32:43.000Z",
"🧨 CRACKIN’ DEALS FOR YOU! 🧨 Start the new year with an abundance of ice cream 🍨😋 hop in-store from now till 5 Feb and you’ll get 𝗼𝗻𝗲 𝗽𝗶𝗻𝘁 𝗳𝗿𝗲𝗲 with every purchase of three pints! Free pint applies to the lowest priced item, promo available in-store only!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CnegG93gupq/","0","","-1","2023-01-16T12:55:39.000Z",
"🎄MERELY A FESTIVE FLAVOUR🎄This is Christmas decadence at it’s finest, and what better time to indulge that sweet tooth of yours!? Made with Valrhona Dulcey chocolate, which gives that rich caramelised and buttery goodness, topped with crunchy roasted pecans and toffee chunks, you’ll be asking for seconds for sure! 🤤","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CmQXTadL097/","0","","-1","2022-12-17T04:39:53.000Z",
"Your childhood favourite made into ice cream! Good for your gut health and remember when it came with a toy when you buy it at the school canteen? Good times! Can you guess which flavour this is? 😋💕🍨","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Cn8ZTSkSak2/","1","Yaaaaaaa kultttttttt 😂😍","41","2023-01-28T03:25:22.000Z",
"🌟BUY 2 AND GET 1 FREE🌟
You’re in for a treat when hang with us from 𝗠𝗼𝗻𝗱𝗮𝘆 𝘁𝗼 𝗙𝗿𝗶𝗱𝗮𝘆, 𝟯-𝟲𝗽𝗺! Just buy 2 single scoops in cups and get 1 free*! School’s out so come while away the day with us, chilling with your buddies and eating ice cream! 

*free scoop applies to the lowest priced item","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/ClijqPELgJK/","0","","35","2022-11-29T09:40:09.000Z",
"🎄MERELY A FESTIVE FLAVOUR 🎄Have you been naughty or nice this year? Our next Christmas special is all things nice with an ice cream base made of rich nutty roasted almond paste which perfectly complements the tart sour cherry compote🍒 the perfect finish to any meal!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CmOe7L_Pcfv/","1","my favourite!! 😍😍😍","-1","2022-12-16T11:04:44.000Z",
"🎄DECEMBER DEAL🎄There’s always room for dessert, in your tummy or the freezer! For the whole of December, you’ll get 𝗼𝗻𝗲 𝗽𝗶𝗻𝘁 𝗳𝗿𝗲𝗲 with every purchase of three pints! Free pint applies to the lowest priced item, promo available in-store and online 🥶","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Clz-o0xyhg3/","0","","-1","2022-12-06T03:55:39.000Z",
"It’s Friday I’m in love 💛👩‍❤️‍💋‍👨 what plans have you made this #fridate? Whether you’re on a first date or been married 20 years, ice cream is always a good idea 😘","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/ClX089jSwbw/","0","","-1","2022-11-25T05:32:17.000Z",
"🎄MERELY A FESTIVE FLAVOUR🎄What’s more festive than the smell of warm apple pie and cinnamon wafting in the air? Our Apple snickerdoodle is just that! Dig into caramelised apple ice cream swirled with soft cinnamon cookie crumbs, yum 😋","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CmLHQ2nD-K5/","0","","-1","2022-12-15T03:34:13.000Z",
"It’s the end of Merely as we know it..

This week marks 11 years of our operations! However, it is with a heavy heart that we announce that Merely at Sunshine Plaza will be closing. We will provide an update once we firm up our last day of operations.

Although our bank account may be dwindling, we hope to add more happy moments to our memory bank and reminisce all the wonderful times you’ve had at Merely Sunshine Plaza. We’d love for you to tag us and share your stories and memories, in posts, stories or commenting below. 

Swing by and grab a scoop or two of our happy food before we say our final goodbye and thank you 🧡","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CqMpW2Zy403/","103","Nowhere else is the ice cream that good......","837","2023-03-25T03:56:18.000Z",
"Love is in the air this weekend before Valentine’s! Have you made your dinner bookings yet? We’ll be open till 10pm come Feb14, so you can have the sweetest ending to your day with your sweetheart 💕🥰 🍨
〰️
#merelyicecream #icecreamlovers #sgcafe #sgeats #sgfoodies #valentines #loveislove","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CogpBaetFJj/","0","","-1","2023-02-11T05:24:44.000Z",
