profilePictureUrl,username,profileUrl,comment,likeCount,replyCount,commentDate,commentId,ownerId,timestamp,query,error
https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/80317955_490763665131593_1200929180162719744_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=CvTDLobtK50AX9MpzaA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBz8wfMv5HcMEAxBHRpKzC-pBCi0v50sN9rXRWppKKWpg&oe=652A4EEE&_nc_sid=f5838a,kasukatz,https://www.instagram.com/kasukatz,😭 will miss you!!,0,0,2023-09-05T14:46:49.000Z,18248540959201881,32182630,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/360045782_1520689578467600_9195803290278917611_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=KrHucinPvSMAX-P2OS1&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfD42ABmbOKqLdOyhr-TIcfK0jZvdyVnMqFMJ4n_MZQI_A&oe=652B287B&_nc_sid=f5838a,cothammavong,https://www.instagram.com/cothammavong,Why are you closing!,0,0,2023-09-12T13:04:16.000Z,17919919976696002,593121844,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/387556207_706831671312156_1931224880629360598_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=XF7IybQMu5IAX_0zzLH&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAQHmxLZdh1ExpfX9-NCMtuDq33CSBEfPa1BEN7G6Q36w&oe=652A7004&_nc_sid=f5838a,justmxrs,https://www.instagram.com/justmxrs,lets go 🙌,0,0,2023-08-29T13:22:02.000Z,18059282563445260,206584977,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/284986871_360404822861176_8784313966380707545_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=9e0zcaTjPucAX-oy39P&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCMUgaYjkrKyLG2cjtnSJt8NR38ysOOwgFnSgrIWm8QMg&oe=652B42E6&_nc_sid=f5838a,sure_yani,https://www.instagram.com/sure_yani,😢,0,0,2023-08-24T04:24:00.000Z,18368569486065042,223508847,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/336339902_564582325682591_1602987247932917534_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=eLxMMvkLevgAX_T66jo&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDrdlvL1ekpLGDtKzcyEoorwcLTNrq4huqmxq60nZaMNA&oe=652B12EC&_nc_sid=f5838a,celestories,https://www.instagram.com/celestories,😢 no more merely icecream,0,0,2023-08-24T03:12:43.000Z,18263000587083369,1173092354,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/380770290_856885532305770_2669947079398127217_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=tQIi8Suef-YAX9Y72Ve&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfD0BCBpTYGJmN8vyiGSQWrlpCURZFKLc1IDPuOSLWVu2g&oe=652B1CB4&_nc_sid=f5838a,colinlie,https://www.instagram.com/colinlie,😢,0,0,2023-08-24T05:50:34.000Z,17990118104212411,2103841,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/11371240_384139011790024_1385984565_a.jpg?_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=sHpuXozvaiAAX8fPNUZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBzgVTN8VpGFfcT0px0yLvpow4kvVWkRW9RjDKRs1m0vg&oe=652B2A94&_nc_sid=f5838a,tyfl,https://www.instagram.com/tyfl,We’ll miss you 😢,0,0,2023-08-24T12:26:00.000Z,18057556414448656,1174771,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/11351994_423113114541969_1626467179_a.jpg?_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=YrAZIJQKPNEAX8AnC-4&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCI-RkluW85nU8yRjsWOrvgjMOTO9_8eM_IzPaGigXskw&oe=652A3BF3&_nc_sid=f5838a,appledazzle,https://www.instagram.com/appledazzle,😢😢😢,0,0,2023-08-24T13:31:22.000Z,17990615558229264,6382079,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/46708226_376823503088784_2985926186904846336_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=val_PH7VyLsAX-N-4xW&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDM_AdaiQ_fxfkzYup6oOpYoQlD7XTN49d4KLlymHNyhg&oe=652AF6F9&_nc_sid=f5838a,hj_balloons,https://www.instagram.com/hj_balloons,😨😥,0,0,2023-08-24T05:49:03.000Z,17966269979446793,145726086,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/367701118_320185110450867_4444680033027581449_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=cvk6SH1QmWMAX_Ea1Lb&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfANIYEVjanTOu57p7cLxYVbJzo8hn4gClb76rglZNDx3w&oe=652A03EA&_nc_sid=f5838a,brendaaalim,https://www.instagram.com/brendaaalim,😩😭,0,0,2023-08-24T07:56:32.000Z,17994204494487305,2905058451,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/123273514_207411504070165_8089780427655907639_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=fT00LpGagXIAX9NfIZa&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBF84XeLCaDc1rXNktFubTFk79i6ithPFsD0_JSkED6kg&oe=652A7F98&_nc_sid=f5838a,tri_martatno,https://www.instagram.com/tri_martatno,Why ? 😢,0,0,2023-08-24T04:01:02.000Z,18011230585895924,1636354020,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/208204140_500059267986525_661185177016415385_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=W2Kaf-Lpg-8AX_RL2l5&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDFfAccGJZOvjd-wOOebZkpxzcnT9ZtgSyxbZIJvsb-OQ&oe=65296E1C&_nc_sid=f5838a,howaboutenough,https://www.instagram.com/howaboutenough,I need a big tub of chocolate stout @sarlc ❤️,1,1,2023-08-24T08:47:16.000Z,17871040238960518,214455557,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/387267390_681171137296721_396201788090848783_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Qn_OeA3g5ZsAX9XtaO6&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfDh7237qenxzBekiiDGqsoshvc4gRBL5Xe85jAXgN-gEg&oe=652A3F54&_nc_sid=f5838a,itzhongee,https://www.instagram.com/itzhongee,We'll miss the waffles 😢 @dalelele,0,0,2023-08-24T02:44:54.000Z,17990104799195277,577234440,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/100519724_248388599812810_969507756614615040_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=iDCNlxwwTTwAX9wGvRJ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAg8ODU8X_jm2493Kwok6sqQbXE5NW27j7HInohJOxFJg&oe=652B38D8&_nc_sid=f5838a,garapon23,https://www.instagram.com/garapon23,Thank you for the good times @merelyicecream till we meet again!,0,0,2023-08-24T13:50:36.000Z,17908211975811672,3095030274,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/315231743_3525287397698873_3940408531888962416_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=NIE4jjL1ZDYAX9Xn0wc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfB55wnP1dKgx-vWzHllfRFZo53m7nYFuoLDdGCcqEBvjg&oe=652B4C78&_nc_sid=f5838a,berleanthe,https://www.instagram.com/berleanthe,@khlloe_ 😢,0,0,2023-08-24T03:47:01.000Z,18245282230206784,2266907167,2023-10-10T14:59:55.439Z,https://www.instagram.com/p/CwT3YOBSTYI/,
https://scontent.cdninstagram.com/v/t51.2885-19/311436482_1525544734627179_5844427829956171860_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_ohc=hBbCJBtvxXIAX_R26RD&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfBx7MN7irVc14h3hVH74Kh00g27t2-3RbRB9p-HH3eY5Q&oe=652B2465&_nc_sid=10d13b,evyq,https://www.instagram.com/evyq,Come back 😢,1,0,2023-06-20T03:51:07.000Z,18005280247795455,24199076,2023-10-10T15:00:26.351Z,https://www.instagram.com/p/CtsZ9OjM7G0/,
https://scontent.cdninstagram.com/v/t51.2885-19/221416629_526845661799330_2314829905515295888_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=102&_nc_ohc=nlDV8_BOCLEAX-cv1g9&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfA0e_ojRXEikIdXH0mGyI95yH8C8rDbd0Knld4GvBAh5A&oe=652A7D09&_nc_sid=10d13b,charme_v,https://www.instagram.com/charme_v,why???,0,0,2023-07-01T04:49:04.000Z,18215251714217469,233957217,2023-10-10T15:00:26.351Z,https://www.instagram.com/p/CtsZ9OjM7G0/,
https://scontent.cdninstagram.com/v/t51.2885-19/349090740_913562556402392_3361871745631538491_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=108&_nc_ohc=OkuzQWQQcNIAX8Rpbkz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfDnj0R0NKsv1xRVd7pXhxVNxKl5eJg80-Z21cxbMtaFug&oe=652A1C3F&_nc_sid=10d13b,honeyy_lilmonster,https://www.instagram.com/honeyy_lilmonster,😢❤️,0,0,2023-06-20T01:40:42.000Z,18010912654709705,291733163,2023-10-10T15:00:26.351Z,https://www.instagram.com/p/CtsZ9OjM7G0/,
https://scontent.cdninstagram.com/v/t51.2885-19/221416629_526845661799330_2314829905515295888_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=102&_nc_ohc=nlDV8_BOCLEAX-cv1g9&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfA0e_ojRXEikIdXH0mGyI95yH8C8rDbd0Knld4GvBAh5A&oe=652A7D09&_nc_sid=10d13b,charme_v,https://www.instagram.com/charme_v,😢😢😢😢😢,0,0,2023-07-01T04:48:53.000Z,17983126787272671,233957217,2023-10-10T15:00:26.351Z,https://www.instagram.com/p/CtsZ9OjM7G0/,
https://instagram.flux2-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.flux2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=tzrtV3LSSLgAX9YCvWD&edm=AAnf6ggBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfCtwLRBvtY5PnmZWFSuuHunsfjAeeGrJTQ1Qnajp_pHpA&oe=6529F98F&_nc_sid=9d1009,kit_281905,https://www.instagram.com/kit_281905,💔😥 nooooooooo,0,0,2023-07-11T17:23:32.000Z,18016937122719594,49731320219,2023-10-10T15:00:26.351Z,https://www.instagram.com/p/CtsZ9OjM7G0/,
https://scontent.cdninstagram.com/v/t51.2885-19/234548767_562961414738529_3302817668585212884_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=109&_nc_ohc=Lu0k-R-gWocAX-LRdwy&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfCq0J1vZXIiMLjAL70akioeH2HQOx_oh10y9_GVjWNA6A&oe=6529787B&_nc_sid=10d13b,rakaushik,https://www.instagram.com/rakaushik,😢😢😢,0,0,2023-06-20T03:35:43.000Z,17998465591920145,232956911,2023-10-10T15:00:26.351Z,https://www.instagram.com/p/CtsZ9OjM7G0/,
https://scontent.cdninstagram.com/v/t51.2885-19/1599240_1426450737656636_189867441_a.jpg?_nc_ht=scontent.cdninstagram.com&_nc_cat=108&_nc_ohc=9oqJy0AmfxEAX8qlLIg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAI-8DvIJni4wso8cmMhzjQ0KMaQxAM-_x0v_8XCK_2vA&oe=652A90FA&_nc_sid=10d13b,broccoru,https://www.instagram.com/broccoru,No!!!,0,0,2023-06-20T02:19:31.000Z,17933471528603922,39824701,2023-10-10T15:00:26.351Z,https://www.instagram.com/p/CtsZ9OjM7G0/,
